X,Y,FID,id,modified,language,rights,rightsHolder,bibliographicCitation,institutionCode,collectionCode,basisOfRecord,catalogNumber,occurrenceRemarks,individualID,individualCount,sex,occurrenceStatus,eventDate,year,waterBody,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,georeferenceRemarks,scientificNameID,scientificName,kingdom,phylum,class,order_,family,genus,subgenus,specificEpithet,infraspecificEpithet,scientificNameAuthorship
18704123.48,-5689932.15,1767,1181,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 78475 - 19),NIWA,MBIS White shark tagging,Occurrence,Shark 78475 - 19,Immature female 330 cm (TL),Shark 78475,1,female,present,,2009,Pacific Ocean,-45.4329,168.022,WGS84,10000,POINT (168.022 -45.4329),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18970622.34,-2395134.119,1768,1670,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S20 - 192),NIWA,MBIS White shark tagging,Occurrence,Shark S20 - 192,,Shark S20,1,,present,,,Pacific Ocean,-21.0273,170.416,WGS84,10000,POINT (170.416 -21.0273),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18671952.15,-5692438.896,1769,1461,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 78471 - 193),NIWA,MBIS White shark tagging,Occurrence,Shark 78471 - 193,Immature female 400 cm (TL),Shark 78471,1,female,present,,2009,Pacific Ocean,-45.4487,167.733,WGS84,10000,POINT (167.733 -45.4487),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18616737.68,-6092775.323,1770,1354,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 78471 - 86),NIWA,MBIS White shark tagging,Occurrence,Shark 78471 - 86,Immature female 400 cm (TL),Shark 78471,1,female,present,,2009,Pacific Ocean,-47.9153,167.237,WGS84,10000,POINT (167.237 -47.9153),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18768466.15,-5713202.067,1771,1182,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 78475 - 20),NIWA,MBIS White shark tagging,Occurrence,Shark 78475 - 20,Immature female 330 cm (TL),Shark 78475,1,female,present,,2009,Pacific Ocean,-45.5794,168.6,WGS84,10000,POINT (168.6 -45.5794),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18899489.19,-2356761.351,1772,1671,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S20 - 193),NIWA,MBIS White shark tagging,Occurrence,Shark S20 - 193,,Shark S20,1,,present,,,Pacific Ocean,-20.7052,169.777,WGS84,10000,POINT (169.777 -20.7052),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18724049.67,-5843875.78,1773,1462,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 78471 - 194),NIWA,MBIS White shark tagging,Occurrence,Shark 78471 - 194,Immature female 400 cm (TL),Shark 78471,1,female,present,26/10/2009,2009,Pacific Ocean,-46.395,168.201,WGS84,10000,POINT (168.201 -46.395),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18620411.23,-6098706.849,1774,1355,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 78471 - 87),NIWA,MBIS White shark tagging,Occurrence,Shark 78471 - 87,Immature female 400 cm (TL),Shark 78471,1,female,present,,2009,Pacific Ocean,-47.951,167.27,WGS84,10000,POINT (167.27 -47.951),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18644678.87,-5723227.591,1775,1183,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 78475 - 21),NIWA,MBIS White shark tagging,Occurrence,Shark 78475 - 21,Immature female 330 cm (TL),Shark 78475,1,female,present,,2009,Pacific Ocean,-45.6424,167.488,WGS84,10000,POINT (167.488 -45.6424),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18899489.19,-2356761.351,1776,1672,11/02/2014 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S20 - 194),NIWA,MBIS White shark tagging,Occurrence,Shark S20 - 194,,Shark S20,1,,present,,,Pacific Ocean,-20.7052,169.777,WGS84,10000,POINT (169.777 -20.7052),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
